Tick,Power (EU/t),Hull Heat (HU),Hull Heat (%),Total Power (EU),Exploded
7701,20.0,0.0,0.0,154020.0,False
7721,20.0,0.0,0.0,154420.0,False
7741,20.0,0.0,0.0,154820.0,False
7761,20.0,0.0,0.0,155220.0,False
7781,20.0,0.0,0.0,155620.0,False
7801,20.0,0.0,0.0,156020.0,False
7821,20.0,0.0,0.0,156420.0,False
7841,20.0,0.0,0.0,156820.0,False
7861,20.0,0.0,0.0,157220.0,False
7881,20.0,0.0,0.0,157620.0,False
7901,20.0,0.0,0.0,158020.0,False
7921,20.0,0.0,0.0,158420.0,False
7941,20.0,0.0,0.0,158820.0,False
7961,20.0,0.0,0.0,159220.0,False
7981,20.0,0.0,0.0,159620.0,False
8001,20.0,0.0,0.0,160020.0,False
8021,20.0,0.0,0.0,160420.0,False
8041,20.0,0.0,0.0,160820.0,False
8061,20.0,0.0,0.0,161220.0,False
8081,20.0,0.0,0.0,161620.0,False
8101,20.0,0.0,0.0,162020.0,False
8121,20.0,0.0,0.0,162420.0,False
8141,20.0,0.0,0.0,162820.0,False
8161,20.0,0.0,0.0,163220.0,False
8181,20.0,0.0,0.0,163620.0,False
8201,20.0,0.0,0.0,164020.0,False
8221,20.0,0.0,0.0,164420.0,False
8241,20.0,0.0,0.0,164820.0,False
8261,20.0,0.0,0.0,165220.0,False
8281,20.0,0.0,0.0,165620.0,False
8301,20.0,0.0,0.0,166020.0,False
8321,20.0,0.0,0.0,166420.0,False
8341,20.0,0.0,0.0,166820.0,False
8361,20.0,0.0,0.0,167220.0,False
8381,20.0,0.0,0.0,167620.0,False
8401,20.0,0.0,0.0,168020.0,False
8421,20.0,0.0,0.0,168420.0,False
8441,20.0,0.0,0.0,168820.0,False
8461,20.0,0.0,0.0,169220.0,False
8481,20.0,0.0,0.0,169620.0,False
8501,20.0,0.0,0.0,170020.0,False
8521,20.0,0.0,0.0,170420.0,False
8541,20.0,0.0,0.0,170820.0,False
8561,20.0,0.0,0.0,171220.0,False
