2026-03-30 16:00:01,322 [INFO] 创建 4 个并行环境
2026-03-30 16:00:01,322 [INFO] 创建评估环境
2026-03-30 16:00:01,322 [INFO] 创建PPO模型...
2026-03-30 16:00:01,947 [INFO] 开始训练...
2026-03-30 16:00:01,947 [INFO] 提示: 可以使用 TensorBoard 查看训练过程: tensorboard --logdir rl_logs_v2
2026-03-30 16:00:17,771 [INFO] Episode 完成: 平均功率=390.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:17,771 [INFO] Episode 完成: 平均功率=115.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:17,771 [INFO] Episode 完成: 平均功率=300.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:17,771 [INFO] Episode 完成: 平均功率=405.00 EU/t, 最大堆温=1339.33, 爆炸=否
2026-03-30 16:00:18,111 [INFO] Episode 完成: 平均功率=265.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:18,111 [INFO] Episode 完成: 平均功率=470.00 EU/t, 最大堆温=10062.00, 爆炸=是
2026-03-30 16:00:18,111 [INFO] Episode 完成: 平均功率=400.00 EU/t, 最大堆温=3140.00, 爆炸=否
2026-03-30 16:00:18,111 [INFO] Episode 完成: 平均功率=130.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:18,474 [INFO] Episode 完成: 平均功率=145.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:18,474 [INFO] Episode 完成: 平均功率=215.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:18,474 [INFO] Episode 完成: 平均功率=210.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:18,474 [INFO] Episode 完成: 平均功率=120.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:18,854 [INFO] Episode 完成: 平均功率=310.00 EU/t, 最大堆温=3080.00, 爆炸=否
2026-03-30 16:00:18,854 [INFO] Episode 完成: 平均功率=255.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:18,854 [INFO] Episode 完成: 平均功率=295.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:18,854 [INFO] Episode 完成: 平均功率=270.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:19,206 [INFO] Episode 完成: 平均功率=305.00 EU/t, 最大堆温=376.00, 爆炸=否
2026-03-30 16:00:19,206 [INFO] Episode 完成: 平均功率=450.00 EU/t, 最大堆温=10022.67, 爆炸=是
2026-03-30 16:00:19,206 [INFO] Episode 完成: 平均功率=450.00 EU/t, 最大堆温=10034.67, 爆炸=是
2026-03-30 16:00:19,206 [INFO] Episode 完成: 平均功率=125.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:19,548 [INFO] Episode 完成: 平均功率=420.00 EU/t, 最大堆温=10014.00, 爆炸=是
2026-03-30 16:00:19,548 [INFO] Episode 完成: 平均功率=425.00 EU/t, 最大堆温=10012.67, 爆炸=是
2026-03-30 16:00:19,548 [INFO] Episode 完成: 平均功率=355.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:19,548 [INFO] Episode 完成: 平均功率=300.00 EU/t, 最大堆温=484.00, 爆炸=否
2026-03-30 16:00:19,924 [INFO] Episode 完成: 平均功率=75.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:19,924 [INFO] Episode 完成: 平均功率=260.00 EU/t, 最大堆温=6014.00, 爆炸=否
2026-03-30 16:00:19,924 [INFO] Episode 完成: 平均功率=380.00 EU/t, 最大堆温=1266.00, 爆炸=否
2026-03-30 16:00:19,924 [INFO] Episode 完成: 平均功率=450.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:20,317 [INFO] Episode 完成: 平均功率=330.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:20,317 [INFO] Episode 完成: 平均功率=365.00 EU/t, 最大堆温=1943.33, 爆炸=否
2026-03-30 16:00:20,317 [INFO] Episode 完成: 平均功率=335.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:20,317 [INFO] Episode 完成: 平均功率=250.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:20,668 [INFO] Episode 完成: 平均功率=255.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:20,668 [INFO] Episode 完成: 平均功率=275.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:20,668 [INFO] Episode 完成: 平均功率=205.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:20,668 [INFO] Episode 完成: 平均功率=100.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:20,968 [INFO] Episode 完成: 平均功率=130.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:20,973 [INFO] Episode 完成: 平均功率=220.00 EU/t, 最大堆温=0.00, 爆炸=否
